ROI,movie_title,plot,plot_sentiment_score,plot_keywords,genre,release_date,duration,director_name,actor_1,actor_1_followers,actor_2,actor_2_followers,actor_3,actor_3_followers,IMDB_Score,num_IMDB_reviews,metacritic_score,budget,gross,language,country,rating,aspect_ratio
-0.37,The Chronicles of Narnia: Prince Caspian,The Pevensie siblings return to Narnia where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne Prince Caspian.,1,brother brother relationship|brother sister relationship|good versus evil|king|narnia,Action Adventure Family,16-May-08,150,Andrew Adamson,Peter Dinklage,0,Pierfrancesco Favino,316267,DamiÃ¡n AlcÃ¡zar,0,6.6,156126,62,225000000,225000000,English,USA,PG,2.35
1.83,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,2,alien invasion|assassin|battle|iron man|soldier,Action Sci-Fi,4-May-12,143,Joss Whedon,Chris Hemsworth,2277774,Robert Downey Jr.,7884478,Scarlett Johansson,0,8.1,1032104,69,220000000,220000000,English,USA,PG-13,1.85
-0.04,Pirates of the Caribbean: On Stranger Tides,Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth only to discover that Blackbeard and his daughter are after it too.,2,blackbeard|captain|pirate|revenge|soldier,Action Adventure Fantasy,20-May-11,136,Rob Marshall,Johnny Depp,9107,Sam Claflin,933297,Stephen Graham,37417,6.7,384912,45,250000000,250000000,English,USA,PG-13,2.35
-0.2,Men in Black 3,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,1,alien|criminal|m.i.b.|maximum security prison|prison,Action Adventure Comedy,25-May-12,106,Barry Sonnenfeld,Will Smith,390827,Michael Stuhlbarg,0,Nicole Scherzinger,5718128,6.8,275094,58,225000000,225000000,English,USA,PG-13,1.85
0.02,The Hobbit: The Battle of the Five Armies,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,1,army|elf|hobbit|middle earth|orc,Adventure Fantasy,17-Dec-14,144,Peter Jackson,Aidan Turner,68058,Adam Brown,2923,James Nesbitt,0,7.4,375648,59,250000000,250000000,English,New Zealand,PG-13,2.35
0.14,The Amazing Spider-Man,After Peter Parker is bitten by a genetically altered spider he gains newfound spider-like powers and ventures out to solve the mystery of his parent's mysterious death.,0,lizard|outcast|spider|spider man|teenager,Action Adventure,3-Jul-12,136,Marc Webb,Emma Stone,79584,Andrew Garfield,0,Chris Zylka,0,7,465391,66,230000000,230000000,English,USA,PG-13,2.35
-0.47,Robin Hood,In 12th century England Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.,1,1190s|archer|england|king of england|robin hood,Action Adventure Drama,14-May-10,140,Ridley Scott,Mark Addy,0,William Hurt,0,Scott Grimes,57247,6.7,217324,53,200000000,200000000,English,USA,PG-13,2.35
0.15,The Hobbit: The Desolation of Smaug,The dwarves along with Bilbo Baggins and Gandalf the Grey continue their quest to reclaim Erebor their homeland from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.,2,dwarf|elf|lake town|mountain|sword and sorcery,Adventure Fantasy,13-Dec-13,161,Peter Jackson,Aidan Turner,68058,Adam Brown,2923,James Nesbitt,0,7.9,505400,66,225000000,225000000,English,USA,PG-13,2.35
-0.61,The Golden Compass,In a parallel universe young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.,1,children|epic|friend|girl|quest,Adventure Family Fantasy,7-Dec-07,113,Chris Weitz,Christopher Lee,3457,Eva Green,0,Kristin Scott Thomas,0,6.1,152775,51,180000000,180000000,English,USA,PG-13,2.35
0.05,King Kong,After a movie crew travel to a mysterious island to shoot their picture they encounter a giant and furious gorilla who takes their leading actress and form a special relationship with her protecting the beautiful lady at all costs.,1,animal name in title|ape abducts a woman|gorilla|island|king kong,Action Adventure Drama,14-Dec-05,187,Peter Jackson,Naomi Watts,771,Thomas Kretschmann,0,Evan Parke,0,7.2,325147,81,207000000,207000000,English,New Zealand,PG-13,2.35
2.29,Titanic,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.,1,artist|love|ship|titanic|wet,Drama Romance,19-Dec-97,194,James Cameron,Leonardo DiCaprio,17149366,Kate Winslet,5773,Gloria Stuart,0,7.7,825348,74,200000000,200000000,English,USA,PG-13,2.35
0.63,Captain America: Civil War,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,1,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,Action Adventure Sci-Fi,6-May-16,147,Anthony Russo,Robert Downey Jr.,7884478,Scarlett Johansson,0,Chris Evans,5139181,7.9,382942,75,250000000,250000000,English,USA,PG-13,2.35
-0.69,Battleship,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,1,box office flop|hawaii|naval|oahu hawaii|ship,Action Adventure Sci-Fi,18-May-12,131,Peter Berg,Liam Neeson,10699,Alexander SkarsgÃ¥rd,0,Tadanobu Asano,226780,5.8,208139,41,209000000,209000000,English,USA,PG-13,2.35
3.35,Jurassic World,A new theme park built on the original site of Jurassic Park creates a genetically modified hybrid dinosaur which escapes containment and goes on a killing spree.,1,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,Action Adventure Sci-Fi,12-Jun-15,124,Colin Trevorrow,Bryce Dallas Howard,72082,Judy Greer,88515,Omar Sy,2290703,7,443537,59,150000000,150000000,English,USA,PG-13,2
0.52,Skyfall,Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack 007 must track down and destroy the threat no matter how personal the cost.,1,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,Action Adventure Thriller,9-Nov-12,143,Sam Mendes,Albert Finney,0,Helen McCrory,139334,Rory Kinnear,0,7.8,540218,81,200000000,200000000,English,UK,PG-13,2.35
0.87,Spider-Man 2,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,1,death|doctor|scientist|super villain|tentacle,Action Adventure,30-Jun-04,127,Sam Raimi,J.K. Simmons,180,James Franco,83268,Kirsten Dunst,477657,7.3,428978,83,200000000,200000000,English,USA,PG-13,2.35
1.04,Iron Man 3,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin he starts an odyssey of rebuilding and retribution.,1,armor|explosion|human bomb|missile attack|terrorist,Action Adventure Sci-Fi,3-May-13,130,Shane Black,Robert Downey Jr.,7884478,Jon Favreau,451644,Don Cheadle,469804,7.2,579620,62,200000000,200000000,English,USA,PG-13,2.35
0.67,Alice in Wonderland,Nineteen-year-old Alice returns to the magical world from her childhood adventure where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.,3,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,Adventure Family Fantasy,5-Mar-10,108,Tim Burton,Johnny Depp,9107,Alan Rickman,57891,Anne Hathaway,5848,6.5,318985,53,200000000,200000000,English,USA,PG,1.85
0.12,X-Men: The Last Stand,When a cure is found to treat mutations lines are drawn amongst the X-Men led by Professor Charles Xavier and the Brotherhood a band of powerful mutants organized under Xavier's former ally Magneto.,1,battle|mutant|outrage|walking through a wall|x men,Action Adventure Fantasy,26-May-06,104,Brett Ratner,Hugh Jackman,7721686,Kelsey Grammer,54661,Daniel Cudmore,57674,6.7,395842,58,210000000,210000000,English,Canada,PG-13,2.35
