ROI,movie_title,plot,plot_sentiment_score,plot_keywords,genre,release_date,duration,director_name,actor_1,actor_1_followers,actor_2,actor_2_followers,actor_3,actor_3_followers,IMDB_Score,num_IMDB_reviews,metacritic_score,budget,gross,language,country,rating,aspect_ratio
0.98,Happy Feet,Into the world of the Emperor Penguins who find their soul mates through song a penguin is born who cannot sing. But he can tap dance something fierce!,2,dance|emperor penguin|friend|penguin|song,Animation Comedy Family,17-Nov-06,108,George Miller,Robin Williams,55829,Hugh Jackman,7722579,Elizabeth Daily,11284,6.5,138162,77,100000000,100000000,English,USA,PG,2.35
1.35,The Bourne Supremacy,When Jason Bourne is framed for a CIA operation gone awry he is forced to resume his former life as a trained assassin to survive.,1,assassin|car chase|cia|hidden truth|one against many,Action Mystery Thriller,23-Jul-04,108,Paul Greengrass,Matt Damon,0,Joan Allen,12168,Oksana Akinshina,0,7.8,367138,73,75000000,75000000,English,USA,PG-13,2.35
1.03,Air Force One,Hijackers seize the plane carrying the President of the United States and his family but he - an ex-soldier - works from hiding to defeat them.,2,ex soldier|hijacker|hostage|president|terrorist,Action Adventure Drama,25-Jul-97,124,Wolfgang Petersen,Harrison Ford,25306,Gary Oldman,0,Dean Stockwell,0,6.4,150281,61,85000000,85000000,English,USA,R,2.35
1.16,Ocean's Eleven,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.,1,card dealer|casino|criminal mastermind|recruiting|ulcer,Crime Thriller,7-Dec-01,116,Steven Soderbergh,Brad Pitt,56075,Bernie Mac,0,Elliott Gould,998,7.8,417107,74,85000000,85000000,English,USA,PG-13,2.35
-0.73,The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,2,box office flop|cardinal richelieu|critically bashed|duel|musketeer,Action Adventure Romance,21-Oct-11,110,Paul W.S. Anderson,Milla Jovovich,1511073,Logan Lerman,1546352,Orlando Bloom,150665,5.8,90944,35,75000000,75000000,English,Germany,PG-13,2.35
0.74,Hotel Transylvania,Dracula who operates a high-end resort away from the human world goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.,1,dracula|hotel|invisible man|monster|transylvania,Animation Comedy Family,28-Sep-12,91,Genndy Tartakovsky,Steve Buscemi,0,Adam Sandler,2082811,Jon Lovitz,100507,7.1,173296,47,85000000,85000000,English,USA,PG,1.85
0.5,Enchanted,A young maiden in a land called Andalasia who is prepared to be wed is sent away to New York City by an evil queen where she falls in love with a lawyer.,1,fairy tale|lawyer|love|new york|prince,Animation Comedy Family,21-Nov-07,107,Kevin Lima,Jeff Bennett,0,Teala Dunn,1275660,Fred Tatasciore,0,7.1,148005,75,85000000,85000000,English,USA,PG,2.35
?,Hannibal,Explores the early relationship between the renowned psychiatrist and his patient a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,3,blood|cannibalism|fbi|manipulation|psychiatrist,Crime Drama Horror,4-Apr-13,44,?,Caroline Dhavernas,0,Scott Thompson,70643,Hettienne Park,16477,8.6,170301,?,?,?,English,USA,TV-14,1.78
0.48,Safe House,A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked he finds himself on the run with his charge.,2,cia|cia agent|consulate|on the run|safe house,Action Crime Mystery,10-Feb-12,115,Daniel Espinosa,Denzel Washington,9519,Ryan Reynolds,4933005,Sam Shepard,0,6.8,171669,52,85000000,85000000,English,USA,R,2.35
-0.21,102 Dalmatians,Cruella DeVil gets out of prison and goes after them darned puppies once more.,1,dog|parole|parole officer|prison|puppy,Adventure Comedy Family,22-Nov-00,100,Kevin Lima,Ioan Gruffudd,60104,Eric Idle,341760,Jim Carter,0,4.8,27416,35,85000000,85000000,English,USA,G,1.85
0.04,Tower Heist,When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme they conspire to rob his high-rise residence.,1,apartment|fbi|fraud|heist|manager,Action Comedy Crime,4-Nov-11,104,Brett Ratner,Matthew Broderick,0,Gabourey Sidibe,0,Judd Hirsch,0,6.2,113184,59,75000000,75000000,English,USA,PG-13,2.35
-0.26,The Holiday,Two women troubled with guy-problems swap homes in each other's countries where they each meet a local guy and fall in love.,1,book|composer|house|love|self esteem,Comedy Romance,8-Dec-06,138,Nancy Meyers,Kate Winslet,5773,Rufus Sewell,14460,Sarah Parish,30167,6.9,191124,52,85000000,85000000,English,USA,PG-13,1.85
0.24,Enemy of the State,A lawyer becomes a target by a corrupt politician and his NSA goons when he accidentally receives key evidence to a serious politically motivated crime.,1,congressman|lawyer|nsa|on the run|surveillance,Action Thriller,20-Nov-98,132,Tony Scott,Will Smith,390828,Jake Busey,8495,Lisa Bonet,0,7.3,194180,67,90000000,90000000,English,USA,R,2.35
0.33,It's Complicated,When attending their son's college graduation a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.,3,affair|divorce|graduation|vomiting|watching television,Comedy Drama Romance,25-Dec-09,120,Nancy Meyers,Meryl Streep,3180,Hunter Parrish,110092,Zoe Kazan,52186,6.6,71985,57,85000000,85000000,English,USA,R,1.85
0.38,Ocean's Thirteen,Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven Reuben Tishkoff.,1,casino|heist|manmade earthquake|revenge|tunnel boring machine,Crime Thriller,8-Jun-07,122,Steven Soderbergh,Al Pacino,0,Matt Damon,0,Brad Pitt,56075,6.9,264613,62,85000000,85000000,English,USA,PG-13,2.35
-0.01,Open Season,Boog a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot a fast-talking mule deer the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.,1,bear|deer|forest|grizzly bear|hunter,Animation Adventure Comedy,29-Sep-06,86,Roger Allers,Jon Favreau,451732,Debra Messing,373780,Jane Krakowski,0,6.2,68027,49,85000000,85000000,English,USA,PG,1.85
0.77,Divergent,In a world divided by factions based on virtues Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.,1,army|brother sister relationship|dystopia|father son relationship|narrated by character,Adventure Mystery Sci-Fi,21-Mar-14,139,Neil Burger,Kate Winslet,5773,Theo James,18801,Mekhi Phifer,67072,6.7,354054,48,85000000,85000000,English,USA,PG-13,2.35
-0.24,Enemy at the Gates,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,2,battle|german|russian|sniper|stalingrad,Drama History War,16-Mar-01,131,Jean-Jacques Annaud,Bob Hoskins,0,Gabriel Thomson,0,Clemens Schick,0,7.6,196900,53,68000000,68000000,English,USA,R,2.35
-0.44,The Rundown,A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.,1,amazon|bounty hunter|fight|hunter|jungle,Action Adventure Comedy,26-Sep-03,104,Peter Berg,Dwayne Johnson,11000919,Rosario Dawson,609542,Ewen Bremner,0,6.7,84682,59,85000000,85000000,English,USA,PG-13,2.35
-0.29,Last Action Hero,With the help of a magic ticket a young film fan is transported into the fictional world of his favorite action film character.,4,action hero|hero|magic|ticket|video store,Action Adventure Comedy,18-Jun-93,130,John McTiernan,F. Murray Abraham,0,Tom Noonan,0,Joan Plowright,0,6.2,110073,44,70000000,70000000,English,USA,PG-13,2.35
-0.33,Memoirs of a Geisha,Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,1,coming of age|geisha|japan|jealousy|love,Drama Romance,23-Dec-05,145,Rob Marshall,Li Gong,0,Mako,22701,Karl Yune,0,7.3,121545,54,85000000,85000000,English,USA,PG-13,2.35
-0.26,The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,1,car|challenge|drift racing|drifting|tokyo japan,Action Crime Romance,16-Jun-06,104,Justin Lin,Amber Stevens West,39091,Zachery Ty Bryan,0,Nikki Griffin,0,6,187189,46,85000000,85000000,English,USA,PG-13,2.35
-0.54,Arthur Christmas,Santa's clumsy son Arthur gets put on a mission with St. Nick's father to give out a present they misplaced to a young girl in less than 2 hours.,1,christmas|christmas eve|elf|high tech|resentment,Animation Adventure Comedy,23-Nov-11,97,Sarah Smith,Jim Broadbent,0,Imelda Staunton,0,Michael Palin,0,7.1,38315,69,100000000,100000000,English,UK,PG,1.85
-0.5,Meet Joe Black,Death who takes the form of a young man asks a media mogul to act as a guide to teach him about life on Earth and in the process he falls in love with his guide's daughter.,1,birthday|death|death personified|fear of death|wealth,Drama Fantasy Romance,13-Nov-98,178,Martin Brest,Anthony Hopkins,112667,Brad Pitt,56075,Jake Weber,0,7.1,174997,43,90000000,90000000,English,USA,PG-13,1.85
-0.53,Collateral Damage,After his family is killed by a terrorist act a firefighter goes in search of the one responsible.,1,bare chested boy|car explosion|colombia|explosion|terrorism,Action Drama Thriller,8-Feb-02,108,Andrew Davis,Raymond Cruz,5718,Rick Worthy,0,Jsu Garcia,0,5.5,62825,33,85000000,85000000,English,USA,R,1.85
?,All That Jazz,Director/choreographer Bob Fosse tells his own life story as he details the sordid life of Joe Gideon a womanizing drug-using dancer.,1,dancer|editing|stand up comedian|surgery|vomiting,Comedy Drama Music,20-Dec-79,123,Bob Fosse,Roy Scheider,0,Ben Vereen,32725,Max Wright,0,7.8,19995,?,?,?,English,USA,R,1.85
-0.24,Mirror Mirror,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,3,kingdom|prince|princess|queen|snow,Adventure Comedy Drama,30-Mar-12,106,Tarsem Singh,Julia Roberts,6152,Nathan Lane,0,Danny Woodburn,3067,5.6,72823,46,85000000,85000000,English,USA,PG,1.85
-0.48,Scott Pilgrim vs. the World,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,2,band|dating|high school|hipster|rock band,Action Comedy Fantasy,13-Aug-10,112,Edgar Wright,Anna Kendrick,6127402,Kieran Culkin,0,Ellen Wong,9846,7.5,286011,69,60000000,60000000,English,USA,PG-13,1.85
-0.48,The Core,The only way to save Earth from catastrophe is to drill down to the core and set it spinning again.,1,core|earth|natural disaster|pacemaker|scientist,Action Adventure Sci-Fi,28-Mar-03,135,Jon Amiel,Glenn Morshower,1344,TchÃ©ky Karyo,0,Rekha Sharma,0,5.4,78822,48,60000000,60000000,English,USA,PG-13,2.35
0.9,Nutty Professor II: The Klumps,Scientist Sherman Klump's inventions his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.,1,alter ego|marriage|professor|scientist|serum,Comedy Romance Sci-Fi,28-Jul-00,106,Peter Segal,Larry Miller,4631,Janet Jackson,3390051,Chris Elliott,31483,4.3,40492,38,65000000,65000000,English,USA,PG-13,1.85
0.82,Scooby-Doo,After an acrimonious break up the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.,1,amusement park|island|motorcycle|scooby doo|tough girl,Adventure Comedy Family,14-Jun-02,86,Raja Gosnell,Sarah Michelle Gellar,578520,Linda Cardellini,0,Miguel A. NÃºÃ±ez Jr.,0,4.9,74273,35,84000000,84000000,English,USA,PG,1.85
-0.62,Dredd,In a violent futuristic city where the police have the authority to act as judge jury and executioner a cop teams with a trainee to take down a gang that deals the reality-altering drug SLO-MO.,1,brutality|dark humor|female antagonist|female warrior|post apocalypse,Action Sci-Fi,21-Sep-12,95,Pete Travis,Wood Harris,13687,Jason Cope,0,Rakie Ayola,0,7.1,210439,59,35000000,35000000,English,UK,R,2.35
0.96,Click,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,3,architect|frozen time|obese man|remote control|stopped time,Comedy Drama Fantasy,23-Jun-06,107,Frank Coraci,Adam Sandler,2082811,Cameron Monaghan,365836,Julie Kavner,0,6.4,254107,45,70000000,70000000,English,USA,PG-13,1.85
?,Creepshow,An anthology which tells five terrifying tales based on the E.C. horror comic books of the 1950s.,1,anthology|child abuse|critically acclaimed|death|grindhouse,Comedy Fantasy Horror,12-Nov-82,120,George A. Romero,Ted Danson,5160,Hal Holbrook,0,Adrienne Barbeau,0,6.9,31378,?,8000000,?,English,USA,R,1.85
-0.49,Cats & Dogs: The Revenge of Kitty Galore,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,1,cartoon on tv|cat|dog|kitty|special agent,Action Comedy Family,30-Jul-10,82,Brad Peyton,Jack McBrayer,0,Sean Hayes,333423,Katt Williams,2438892,4.3,10669,30,85000000,85000000,English,USA,PG,1.85
-0.06,Jumper,A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,3,bank|based on novel|ice|teleportation|vault,Action Adventure Sci-Fi,14-Feb-08,88,Doug Liman,Kristen Stewart,35705,Hayden Christensen,0,Tom Hulce,0,6.1,249394,35,85000000,85000000,English,USA,PG-13,2.35
-0.11,Hellboy II: The Golden Army,The mythical world starts a rebellion against humanity in order to rule the Earth so Hellboy and his team must save the world from the rebellious creatures.,1,creature|elf|prince|rebellion|superhero,Action Adventure Fantasy,11-Jul-08,120,Guillermo del Toro,Seth MacFarlane,12347702,IvÃ¡n KamarÃ¡s,0,Brian Steele,0,7,214413,78,85000000,85000000,English,USA,PG-13,1.85
-0.49,Zodiac,In the late 1960s/early 1970s a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer an unidentified individual who terrorizes Northern California with a killing spree.,1,cartoonist|reporter|serial killer|zodiac|zodiac killer,Crime Drama History,2-Mar-07,157,David Fincher,Robert Downey Jr.,7884688,Jake Gyllenhaal,1843,Anthony Edwards,303867,7.7,319328,78,65000000,65000000,English,USA,R,2.35
-0.58,The 6th Day,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,3,clone|cloning|future|laser gun|murder,Action Mystery Sci-Fi,17-Nov-00,123,Roger Spottiswoode,Robert Duvall,0,Michael Rapaport,151153,Tony Goldwyn,487935,5.9,102204,49,82000000,82000000,English,USA,PG-13,2.35
1.99,Bruce Almighty,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,1,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,Comedy Drama Fantasy,23-May-03,101,Tom Shadyac,Morgan Freeman,27647,Steve Carell,5058241,Lisa Ann Walter,13020,6.7,307335,46,81000000,81000000,English,USA,PG-13,1.85
0.29,The Expendables,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,1,action hero|assassination attempt|explosion|machine gun|rescue mission,Action Adventure Thriller,13-Aug-10,103,Sylvester Stallone,Jason Statham,15855,Sylvester Stallone,2040611,Jet Li,0,6.5,277931,45,80000000,80000000,English,USA,R,2.35
1.26,Mission: Impossible,An American agent under false suspicion of disloyalty must discover and expose the real spy without the help of his organization.,1,disguise|mission|spy|stealing|traitor,Action Adventure Thriller,22-May-96,110,Brian De Palma,Tom Cruise,6183657,Kristin Scott Thomas,0,Vanessa Redgrave,0,7.1,312504,59,80000000,80000000,English,USA,PG-13,2.35
4.23,The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2,fight to the death|game|massacre|self survival|suicide attempt,Action Adventure Sci-Fi,23-Mar-12,142,Gary Ross,Jennifer Lawrence,13157,Josh Hutcherson,2990050,Anthony Reynolds,0,7.2,725672,68,78000000,78000000,English,USA,PG-13,2.35
2.18,The Hangover Part II,Two years after the bachelor party in Las Vegas Phil Stu Alan and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch however goes seriously awry.,2,hotel|male frontal nudity|pubic hair|thailand|wedding,Comedy Mystery,26-May-11,102,Todd Phillips,Bradley Cooper,15384,Mason Lee,3769,Mike Tyson,5218829,6.5,387953,44,80000000,80000000,English,USA,R,2.35
1.04,Batman Returns,When a corrupt businessman and the grotesque Penguin plot to take control of Gotham City only Batman can stop them while the Catwoman has her own agenda.,1,box office hit|dc comics|gotham|mayor|penguin,Action,19-Jun-92,126,Tim Burton,Michael Gough,0,Vincent Schiavelli,0,Andrew Bryniarski,0,7,223747,68,80000000,80000000,English,USA,PG-13,1.85
0.94,Over the Hedge,A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.,1,bear|food|forest|raccoon|turtle,Animation Adventure Comedy,19-May-06,83,Tim Johnson,Bruce Willis,156698,Steve Carell,5058241,Catherine O'Hara,0,6.8,131875,67,80000000,80000000,English,USA,PG,1.85
0.82,Lilo & Stitch,A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive from the law.,2,alien|escape|fugitive|hawaii|social worker,Animation Adventure Comedy,21-Jun-02,85,Dean DeBlois,Tia Carrere,33435,Jason Scott Lee,2389,David Ogden Stiers,0,7.2,124118,73,80000000,80000000,English,USA,PG,1.66
?,Charlotte's Web,Wilbur the pig is scared of the end of the season because he knows that come that time he will end up on the dinner table. He hatches a plan with Charlotte a spider that lives in his pen to ensure that this will never happen.,2,barn|pig|piglet|spider|uncle,Comedy Family Fantasy,15-Dec-06,97,Gary Winick,Steve Buscemi,0,Julia Roberts,6152,Oprah Winfrey,35874866,6.4,29181,68,?,?,English,USA,G,1.85
0.87,Deep Impact,Unless a comet can be destroyed before colliding with Earth only those allowed into shelters will survive. Which people will survive?,1,astronomer|comet|mission|president|secretary,Action Drama Romance,8-May-98,120,Mimi Leder,Morgan Freeman,27647,Jon Favreau,451732,Robert Duvall,0,6.1,138792,40,75000000,75000000,English,USA,PG-13,2.35
-0.37,RED 2,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,1,cia|cia agent|rescue|russian|team,Action Comedy Crime,19-Jul-13,116,Dean Parisot,Bruce Willis,156698,Anthony Hopkins,112667,Garrick Hagon,0,6.7,129950,47,84000000,84000000,English,USA,PG-13,2.35
0.93,The Longest Yard,Prison inmates form a football team to challenge the prison guards.,2,coach|convict|football|prison|warden,Comedy Crime Sport,27-May-05,113,Peter Segal,Adam Sandler,2082811,Steve Reevis,0,Dalip Singh,0,6.4,134577,48,82000000,82000000,English,USA,PG-13,2.35
0.77,Alvin and the Chipmunks: Chipwrecked,Playing around while aboard a cruise ship the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.,1,chipmunk|cruise ship|football ball|overboard|tennis ball,Animation Adventure Comedy,16-Dec-11,87,Mike Mitchell,Amy Poehler,229411,Jesse McCartney,833825,Lauren Gottlieb,203392,4.4,23647,24,75000000,75000000,English,USA,G,1.85
0.67,Grown Ups 2,After moving his family back to his hometown to be with his friends and their kids Lenny finds out that between old bullies new bullies schizo bus drivers drunk cops on skis and 400 costumed party crashers sometimes crazy follows you.,1,belching|number in title|party|reference to nicki minaj|sneezing,Comedy,12-Jul-13,101,Dennis Dugan,Steve Buscemi,0,Adam Sandler,2082811,Jon Lovitz,100507,5.4,112027,19,80000000,80000000,English,USA,PG-13,1.85
0.63,Get Smart,A highly intellectual but socially awkward spy is tasked with preventing a terrorist attack from a Russian spy agency.,1,airplane|misunderstanding|obese woman|overweight woman|spy,Action Adventure Comedy,20-Jun-08,110,Peter Segal,Bill Murray,3176,Dwayne Johnson,11000919,Anne Hathaway,5848,6.5,172157,54,80000000,80000000,English,USA,PG-13,1.85
0.56,Something's Gotta Give,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,1,beach|dating|doctor|heart attack|weekend,Comedy Drama Romance,12-Dec-03,128,Nancy Meyers,Keanu Reeves,63834,Jon Favreau,451732,Paul Michael Glaser,0,6.7,92937,66,80000000,80000000,English,USA,PG-13,1.85
0.6,Shutter Island,In 1954 a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.,1,female prisoner|plot twist|self delusion|surprise ending|year 1954,Mystery Thriller,19-Feb-10,138,Martin Scorsese,Leonardo DiCaprio,17149634,Joseph Sikora,68908,Nellie Sciutto,0,8.1,832787,63,80000000,80000000,English,USA,R,2.35
0.5,Four Christmases,A couple struggles to visit all four of their divorced parents on Christmas.,3,airport|christmas|news broadcast|tv broadcast|tv news,Comedy Drama Romance,26-Nov-08,88,Seth Gordon,Jon Favreau,451732,Robert Duvall,0,Katy Mixon,43593,5.6,50875,41,80000000,80000000,English,Germany,PG-13,1.85
0.71,Robots,In a robot world a young idealistic inventor travels to the big city to join his inspiration's company only to find himself opposing its sinister new management.,3,actor voicing multiple characters|box office hit|coffee|plate|robot,Animation Adventure Comedy,11-Mar-05,91,Chris Wedge,Jim Broadbent,0,Drew Carey,661217,Paula Abdul,2565797,6.3,106749,64,75000000,75000000,English,USA,PG,1.85
0.4,Face/Off,In order to foil an extortion plot an FBI agent undergoes a face-transplant surgery and assumes the identity and physical appearance of a ruthless terrorist but the plan turns from bad to worse when the same criminal impersonates the cop.,0,death of child|face|face transplant|prison|terrorist,Action Crime Sci-Fi,27-Jun-97,138,John Woo,Nicolas Cage,11021,CCH Pounder,25328,Joan Allen,12168,7.3,291802,82,80000000,80000000,English,USA,R,2.35
0.37,Bedtime Stories,A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,3,2000s|bedtime story|elephant|handyman|tween girl,Comedy Family Fantasy,25-Dec-08,99,Adam Shankman,Adam Sandler,2082811,Carmen Electra,393880,Kathryn Joosten,0,6.1,74018,33,80000000,80000000,English,USA,PG,2.35
0.3,Road to Perdition,Bonds of loyalty are put to the test when a hitman's son witnesses what his father does for a living.,1,1930s|blood|gun|on the run|revenge,Crime Drama Thriller,12-Jul-02,117,Sam Mendes,Tom Hanks,12743694,Jennifer Jason Leigh,0,Liam Aiken,1785,7.7,206372,72,80000000,80000000,English,USA,R,2.35
0.29,Just Go with It,On a weekend trip to Hawaii a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.,1,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,Comedy Romance,11-Feb-11,117,Dennis Dugan,Adam Sandler,2082811,Bailee Madison,408001,Kevin Nealon,1551690,6.4,178484,33,80000000,80000000,English,USA,PG-13,1.85
?,Daredevil,Matt Murdock with his other senses superhumanly enhanced fights crime as a blind lawyer by day and vigilante by night.,1,corruption|lawyer|partnership|superhero|vigilante,Action Crime Drama,10-Apr-15,54,?,Elden Henson,0,Royce Johnson,0,Charlie Cox,0,8.8,239418,?,?,?,English,USA,TV-MA,16
0.35,Con Air,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,1,army rangers|convict|criminal|escape|prison,Action Crime Thriller,6-Jun-97,115,Simon West,Steve Buscemi,0,Monica Potter,87860,Dave Chappelle,514252,6.8,231728,52,75000000,75000000,English,USA,R,2.35
0.26,Eagle Eye,Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family she pushes Jerry and Rachel into a series of increasingly dangerous situations using the technology of everyday life to track and control their every move.,1,audio surveillance|death|pentagon|technology|twin brother,Action Mystery Thriller,26-Sep-08,118,D.J. Caruso,Rosario Dawson,609542,Ethan Embry,29026,Cameron Boyce,1283747,6.6,154686,43,80000000,80000000,English,USA,PG-13,2.35
0.21,Cold Mountain,In the waning days of the American Civil War a wounded soldier embarks on a perilous journey back home to Cold Mountain North Carolina to reunite with his sweetheart.,1,civil war|mountain|soldier|well|wounded soldier,Adventure Drama History,25-Dec-03,154,Anthony Minghella,Philip Seymour Hoffman,414,Natalie Portman,0,Charlie Hunnam,0,7.2,121080,73,79000000,79000000,English,USA,R,2.35
0.19,The Book of Eli,A post-apocalyptic tale in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.,3,blind|book|long take|post apocalypse|water,Action Adventure Drama,15-Jan-10,118,Albert Hughes,Denzel Washington,9519,Mila Kunis,0,Gary Oldman,0,6.9,235955,53,80000000,80000000,English,USA,R,2.35
0.16,Flubber,An absent-minded professor discovers flubber a rubber-like super-bouncy substance.,1,college|flubber|flying rubber|professor|wedding,Comedy Family Sci-Fi,26-Nov-97,93,Les Mayfield,Robin Williams,55829,Jodi Benson,0,Sam Lloyd,19252,5.2,66715,37,80000000,80000000,English,USA,PG,1.85
0.14,The Haunting,When Eleanor Theo and Luke decide to take part in a sleep study at a huge mansion they get more than they bargained for when Dr. Marrow tells them of the house's ghostly past.,1,greenhouse|haunted house|horror movie remake|mansion|old house,Fantasy Horror Mystery,23-Jul-99,113,Jan de Bont,Liam Neeson,10699,Lili Taylor,10232,Virginia Madsen,75667,4.9,60073,?,80000000,80000000,English,USA,PG-13,2.35
0.13,Space Jam,In a desperate attempt to win a basketball match and earn their freedom the Looney Tunes seek the aid of retired basketball champion Michael Jordan.,1,alien|basketball|basketball game|cult film|monstars,Animation Adventure Comedy,15-Nov-96,88,Joe Pytka,Bill Murray,3176,Wayne Knight,17857,Michael Jordan,415429,6.3,117216,59,80000000,80000000,English,USA,PG,1.77
0.27,The Pink Panther,Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.,1,diamond|france|investigation|pink panther|soccer,Adventure Comedy Crime,10-Feb-06,93,Shawn Levy,Roger Rees,0,Henry Czerny,0,William Abadie,0,5.6,67737,38,65000000,65000000,English,USA,PG,1.85
-0.01,The Day the Earth Stood Still,A remake of the 1951 classic sci-fi film about an alien visitor and his giant robot counterpart who visit Earth.,1,alien|earth|giant robot|military|scientist,Drama Sci-Fi Thriller,12-Dec-08,104,Scott Derrickson,Keanu Reeves,63834,Jon Hamm,0,Juan Riedinger,1288,5.5,142430,40,80000000,80000000,English,USA,PG-13,2.35
0.01,Conspiracy Theory,A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately in order to save himself he has to figure out which theory it is.,1,conspiracy|fbi|mk ultra|newsletter|taxi,Action Crime Mystery,8-Aug-97,135,Richard Donner,Julia Roberts,6152,Alex McArthur,0,Michael Potts,2155,6.7,78454,49,75000000,75000000,English,USA,R,2.35
0.26,Fury,A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April 1945.,1,battle|battlefield|brutality|combat|tank,Action Drama War,17-Oct-14,134,David Ayer,Brad Pitt,56075,Logan Lerman,1546352,Jim Parrack,20677,7.6,324490,64,68000000,68000000,English,USA,R,2.35
0.06,Six Days Seven Nights,Robin Monroe a New York magazine editor and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island.,1,airplane|island|pilot|storm|thunderstorm,Action Adventure Comedy,12-Jun-98,98,Ivan Reitman,Harrison Ford,25306,Anne Heche,8799,Amy Sedaris,0,5.8,62481,51,70000000,70000000,English,USA,PG-13,2.35
0.25,Yogi Bear,A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear his sidekick Boo-Boo and Ranger Smith.,1,bear|mayor|park|sabotage|yogi bear,Animation Adventure Comedy,17-Dec-10,80,Eric Brevig,Justin Timberlake,58224670,Tom Cavanagh,325518,Josh Robert Thompson,29968,4.6,16848,35,80000000,80000000,English,USA,PG,1.85
-0.08,Spirit: Stallion of the Cimarron,A wild stallion is captured by humans and slowly loses the will to resist training. Yet throughout his struggles for freedom the stallion refuses to let go of the hope of one day returning home to his herd.,1,cavalry|escape|herd|stallion|wild stallion,Animation Adventure Family,24-May-02,83,Kelly Asbury,Matt Damon,0,Charles Napier,0,Zahn McClarnon,0,7.1,47224,52,80000000,80000000,English,USA,G,2.35
